mode=full seed=0 output_dir=runs/baseline-20260718T074451Z/full-seed-0
Running pytorch 2.11.0+cu128
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: m-obukhov (m-obukhov-home) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mpe2znwl
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/NoCap-Test/wandb/run-20260718_140711-mpe2znwl
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run full-seed-0
wandb: ⭐️ View project at https://wandb.ai/m-obukhov-home/nocap-baseline
wandb: 🚀 View run at https://wandb.ai/m-obukhov-home/nocap-baseline/runs/mpe2znwl
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
using device: cuda:0 (NVIDIA GeForce RTX 4090)
run: full-seed-0 | seed: 0 | output: runs/baseline-20260718T074451Z/full-seed-0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:113/4768 | loss 6.164577 | lr:0.000794531 | train_time:505.53s | step:4163.30ms
step:114/4768 | loss 6.100297 | lr:0.000801562 | train_time:509.71s | step:4179.01ms
step:115/4768 | loss 6.158826 | lr:0.000808594 | train_time:513.86s | step:4144.73ms
step:116/4768 | loss 6.105669 | lr:0.000815625 | train_time:518.03s | step:4169.28ms
step:117/4768 | loss 6.078428 | lr:0.000822656 | train_time:522.18s | step:4155.89ms
step:118/4768 | loss 6.032664 | lr:0.000829688 | train_time:526.35s | step:4162.13ms
step:119/4768 | loss 6.078986 | lr:0.000836719 | train_time:530.51s | step:4163.31ms
step:120/4768 | loss 6.031412 | lr:0.00084375 | train_time:534.68s | step:4171.83ms
step:121/4768 | loss 6.074786 | lr:0.000850781 | train_time:538.83s | step:4147.97ms
step:122/4768 | loss 6.006207 | lr:0.000857812 | train_time:542.99s | step:4160.98ms
step:123/4768 | loss 6.090347 | lr:0.000864844 | train_time:547.15s | step:4161.86ms
step:124/4768 | loss 6.014702 | lr:0.000871875 | train_time:551.32s | step:4167.58ms
step:125/4768 | loss 5.995763 | lr:0.000878906 | train_time:555.48s | step:4157.83ms
step:126/4768 | loss 5.965627 | lr:0.000885938 | train_time:559.64s | step:4159.57ms
step:127/4768 | loss 6.081824 | lr:0.000892969 | train_time:563.79s | step:4154.15ms
step:128/4768 | loss 5.984909 | lr:0.0009 | train_time:567.95s | step:4160.22ms
step:128/4768 | val loss 6.032739
step:129/4768 | loss 6.034980 | lr:0.000907031 | train_time:572.10s | step:4145.88ms
step:130/4768 | loss 5.996506 | lr:0.000914062 | train_time:576.23s | step:4134.62ms
step:131/4768 | loss 6.008454 | lr:0.000921094 | train_time:580.37s | step:4141.87ms
step:132/4768 | loss 5.964891 | lr:0.000928125 | train_time:584.52s | step:4144.45ms
step:133/4768 | loss 5.895624 | lr:0.000935156 | train_time:588.67s | step:4152.36ms
step:134/4768 | loss 5.945031 | lr:0.000942187 | train_time:592.82s | step:4154.02ms
step:135/4768 | loss 5.935217 | lr:0.000949219 | train_time:596.99s | step:4168.97ms
