mode=proxy seed=0 output_dir=runs/baseline-20260718T074451Z/proxy-seed-0
Running pytorch 2.11.0+cu128
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: m-obukhov (m-obukhov-home) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0ty30mlf
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/NoCap-Test/wandb/run-20260718_074458-0ty30mlf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run proxy-seed-0
wandb: ⭐️ View project at https://wandb.ai/m-obukhov-home/nocap-baseline
wandb: 🚀 View run at https://wandb.ai/m-obukhov-home/nocap-baseline/runs/0ty30mlf
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
using device: cuda:0 (NVIDIA GeForce RTX 4090)
run: proxy-seed-0 | seed: 0 | output: runs/baseline-20260718T074451Z/proxy-seed-0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
/venv/main/lib/python3.12/site-packages/torch/_inductor/compile_fx.py:322: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
step:95/1788 | loss 6.182481 | lr:0.00178125 | train_time:446.93s | step:4078.38ms
step:96/1788 | loss 6.136505 | lr:0.0018 | train_time:451.02s | step:4082.64ms
step:97/1788 | loss 6.250286 | lr:0.0018 | train_time:455.10s | step:4080.45ms
step:98/1788 | loss 6.224303 | lr:0.0018 | train_time:459.20s | step:4100.74ms
step:99/1788 | loss 6.180316 | lr:0.0018 | train_time:463.28s | step:4087.73ms
step:100/1788 | loss 6.179518 | lr:0.0018 | train_time:467.38s | step:4091.91ms
step:101/1788 | loss 6.163109 | lr:0.0018 | train_time:471.47s | step:4089.91ms
step:102/1788 | loss 6.119904 | lr:0.0018 | train_time:475.56s | step:4092.19ms
step:103/1788 | loss 6.126047 | lr:0.0018 | train_time:479.64s | step:4086.74ms
step:104/1788 | loss 6.116967 | lr:0.0018 | train_time:483.73s | step:4085.17ms
step:105/1788 | loss 6.138246 | lr:0.0018 | train_time:487.83s | step:4098.47ms
step:106/1788 | loss 6.165345 | lr:0.0018 | train_time:491.93s | step:4098.68ms
step:107/1788 | loss 6.117687 | lr:0.0018 | train_time:496.02s | step:4095.86ms
step:108/1788 | loss 6.044613 | lr:0.0018 | train_time:500.13s | step:4102.72ms
step:109/1788 | loss 6.093362 | lr:0.0018 | train_time:504.22s | step:4098.68ms
step:110/1788 | loss 6.122675 | lr:0.0018 | train_time:508.32s | step:4097.22ms
step:111/1788 | loss 6.032364 | lr:0.0018 | train_time:512.43s | step:4104.71ms
step:112/1788 | loss 6.065973 | lr:0.0018 | train_time:516.53s | step:4099.93ms
step:113/1788 | loss 6.139187 | lr:0.0018 | train_time:520.63s | step:4102.43ms
step:114/1788 | loss 6.094415 | lr:0.0018 | train_time:524.70s | step:4074.96ms
step:115/1788 | loss 6.090919 | lr:0.0018 | train_time:528.81s | step:4109.22ms
step:116/1788 | loss 6.062652 | lr:0.0018 | train_time:532.92s | step:4107.36ms
step:117/1788 | loss 6.013516 | lr:0.0018 | train_time:537.03s | step:4105.30ms
step:118/1788 | loss 5.979742 | lr:0.0018 | train_time:541.12s | step:4091.79ms
step:119/1788 | loss 6.006000 | lr:0.0018 | train_time:545.21s | step:4097.53ms
step:120/1788 | loss 5.953970 | lr:0.0018 | train_time:549.31s | step:4093.74ms
step:121/1788 | loss 5.964808 | lr:0.0018 | train_time:553.41s | step:4104.08ms
step:122/1788 | loss 5.880909 | lr:0.0018 | train_time:557.52s | step:4111.15ms
step:123/1788 | loss 5.954708 | lr:0.0018 | train_time:561.63s | step:4103.64ms
step:124/1788 | loss 5.886014 | lr:0.0018 | train_time:565.73s | step:4106.74ms
