mode=proxy seed=2 output_dir=runs/baseline-20260718T074451Z/proxy-seed-2
Running pytorch 2.11.0+cu128
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: m-obukhov (m-obukhov-home) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mxrhbgp8
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/NoCap-Test/wandb/run-20260718_115912-mxrhbgp8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run proxy-seed-2
wandb: ⭐️ View project at https://wandb.ai/m-obukhov-home/nocap-baseline
wandb: 🚀 View run at https://wandb.ai/m-obukhov-home/nocap-baseline/runs/mxrhbgp8
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
using device: cuda:0 (NVIDIA GeForce RTX 4090)
run: proxy-seed-2 | seed: 2 | output: runs/baseline-20260718T074451Z/proxy-seed-2
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:92/1788 | loss 6.270322 | lr:0.001725 | train_time:420.17s | step:4172.96ms
step:93/1788 | loss 6.275160 | lr:0.00174375 | train_time:424.34s | step:4176.15ms
step:94/1788 | loss 6.232544 | lr:0.0017625 | train_time:428.52s | step:4178.93ms
step:95/1788 | loss 6.200774 | lr:0.00178125 | train_time:432.70s | step:4179.78ms
step:96/1788 | loss 6.184538 | lr:0.0018 | train_time:436.88s | step:4177.55ms
step:97/1788 | loss 6.314229 | lr:0.0018 | train_time:441.06s | step:4177.94ms
step:98/1788 | loss 6.272401 | lr:0.0018 | train_time:445.22s | step:4164.27ms
step:99/1788 | loss 6.266430 | lr:0.0018 | train_time:449.41s | step:4188.95ms
step:100/1788 | loss 6.190667 | lr:0.0018 | train_time:453.59s | step:4177.19ms
step:101/1788 | loss 6.196098 | lr:0.0018 | train_time:457.77s | step:4177.51ms
step:102/1788 | loss 6.123433 | lr:0.0018 | train_time:461.95s | step:4181.29ms
step:103/1788 | loss 6.150781 | lr:0.0018 | train_time:466.13s | step:4179.25ms
step:104/1788 | loss 6.131370 | lr:0.0018 | train_time:470.32s | step:4193.91ms
step:105/1788 | loss 6.141003 | lr:0.0018 | train_time:474.51s | step:4187.47ms
step:106/1788 | loss 6.186126 | lr:0.0018 | train_time:478.70s | step:4195.54ms
step:107/1788 | loss 6.124748 | lr:0.0018 | train_time:482.89s | step:4182.16ms
step:108/1788 | loss 6.056463 | lr:0.0018 | train_time:487.06s | step:4172.95ms
step:109/1788 | loss 6.113869 | lr:0.0018 | train_time:491.25s | step:4188.51ms
step:110/1788 | loss 6.173478 | lr:0.0018 | train_time:495.43s | step:4185.78ms
step:111/1788 | loss 6.071250 | lr:0.0018 | train_time:499.62s | step:4189.35ms
step:112/1788 | loss 6.091815 | lr:0.0018 | train_time:503.82s | step:4199.82ms
step:113/1788 | loss 6.098110 | lr:0.0018 | train_time:508.01s | step:4186.50ms
step:114/1788 | loss 6.016418 | lr:0.0018 | train_time:512.19s | step:4184.60ms
step:115/1788 | loss 6.065474 | lr:0.0018 | train_time:516.38s | step:4189.63ms
step:116/1788 | loss 6.026059 | lr:0.0018 | train_time:520.56s | step:4176.74ms
step:117/1788 | loss 6.000101 | lr:0.0018 | train_time:524.75s | step:4188.10ms
step:118/1788 | loss 5.946818 | lr:0.0018 | train_time:528.93s | step:4179.14ms
step:119/1788 | loss 5.987469 | lr:0.0018 | train_time:533.11s | step:4185.13ms
step:120/1788 | loss 5.928242 | lr:0.0018 | train_time:537.31s | step:4192.64ms
step:121/1788 | loss 5.941067 | lr:0.0018 | train_time:541.48s | step:4174.06ms
step:122/1788 | loss 5.862571 | lr:0.0018 | train_time:545.68s | step:4199.61ms
step:123/1788 | loss 5.941118 | lr:0.0018 | train_time:549.87s | step:4188.80ms
step:124/1788 | loss 5.887092 | lr:0.0018 | train_time:554.06s | step:4186.96ms
step:125/1788 | loss 5.925184 | lr:0.0018 | train_time:558.23s | step:4174.05ms
step:126/1788 | loss 5.922047 | lr:0.0018 | train_time:562.42s | step:4189.61ms
step:127/1788 | loss 6.005582 | lr:0.0018 | train_time:566.60s | step:4179.25ms
step:128/1788 | loss 5.897449 | lr:0.0018 | train_time:570.79s | step:4192.76ms
step:128/1788 | val loss 5.953449
step:129/1788 | loss 5.965758 | lr:0.0018 | train_time:574.97s | step:4182.57ms
step:130/1788 | loss 5.910712 | lr:0.0018 | train_time:579.16s | step:4187.46ms
step:131/1788 | loss 5.923748 | lr:0.0018 | train_time:583.33s | step:4172.43ms
step:132/1788 | loss 5.865846 | lr:0.0018 | train_time:587.52s | step:4186.47ms
step:133/1788 | loss 5.813321 | lr:0.0018 | train_time:591.70s | step:4176.94ms
step:134/1788 | loss 5.851898 | lr:0.0018 | train_time:595.87s | step:4172.48ms
step:135/1788 | loss 5.841857 | lr:0.0018 | train_time:600.06s | step:4190.39ms
step:136/1788 | loss 5.751895 | lr:0.0018 | train_time:604.24s | step:4175.90ms
step:137/1788 | loss 5.791138 | lr:0.0018 | train_time:608.42s | step:4189.31ms
step:138/1788 | loss 5.805816 | lr:0.0018 | train_time:612.62s | step:4193.75ms
step:139/1788 | loss 5.784788 | lr:0.0018 | train_time:616.81s | step:4189.99ms
step:140/1788 | loss 5.839257 | lr:0.0018 | train_time:620.98s | step:4173.15ms
step:141/1788 | loss 5.749846 | lr:0.0018 | train_time:625.18s | step:4194.16ms
step:142/1788 | loss 5.854249 | lr:0.0018 | train_time:629.37s | step:4190.49ms
step:143/1788 | loss 5.787894 | lr:0.0018 | train_time:633.55s | step:4180.52ms
step:144/1788 | loss 5.795474 | lr:0.0018 | train_time:637.73s | step:4185.98ms
step:145/1788 | loss 5.755425 | lr:0.0018 | train_time:641.90s | step:4171.67ms
step:146/1788 | loss 5.685724 | lr:0.0018 | train_time:646.09s | step:4186.55ms
step:147/1788 | loss 5.693525 | lr:0.0018 | train_time:650.28s | step:4188.22ms
step:148/1788 | loss 5.736344 | lr:0.0018 | train_time:654.46s | step:4184.32ms
step:149/1788 | loss 5.749634 | lr:0.0018 | train_time:658.64s | step:4178.83ms
step:150/1788 | loss 5.704171 | lr:0.0018 | train_time:662.83s | step:4186.35ms
step:151/1788 | loss 5.690149 | lr:0.0018 | train_time:667.01s | step:4181.88ms
step:152/1788 | loss 5.610123 | lr:0.0018 | train_time:671.18s | step:4174.24ms
step:153/1788 | loss 5.640376 | lr:0.0018 | train_time:675.36s | step:4178.45ms
step:154/1788 | loss 5.623902 | lr:0.0018 | train_time:679.53s | step:4170.30ms
step:155/1788 | loss 5.681772 | lr:0.0018 | train_time:683.71s | step:4178.97ms
step:156/1788 | loss 5.672103 | lr:0.0018 | train_time:687.89s | step:4181.38ms
step:157/1788 | loss 5.687702 | lr:0.0018 | train_time:692.07s | step:4171.71ms
step:158/1788 | loss 5.598746 | lr:0.0018 | train_time:696.26s | step:4196.88ms
step:159/1788 | loss 5.610246 | lr:0.0018 | train_time:700.44s | step:4174.01ms
step:160/1788 | loss 5.632021 | lr:0.0018 | train_time:704.62s | step:4181.86ms
step:161/1788 | loss 5.613797 | lr:0.0018 | train_time:708.79s | step:4175.38ms
step:162/1788 | loss 5.640382 | lr:0.0018 | train_time:712.98s | step:4184.24ms
step:163/1788 | loss 5.602207 | lr:0.0018 | train_time:717.17s | step:4187.17ms
step:164/1788 | loss 5.633253 | lr:0.0018 | train_time:721.33s | step:4166.09ms
step:165/1788 | loss 5.590469 | lr:0.0018 | train_time:725.52s | step:4184.99ms
step:166/1788 | loss 5.624281 | lr:0.0018 | train_time:729.71s | step:4194.91ms
step:167/1788 | loss 5.554099 | lr:0.0018 | train_time:733.88s | step:4173.69ms
step:168/1788 | loss 5.569357 | lr:0.0018 | train_time:738.07s | step:4180.57ms
step:169/1788 | loss 5.526214 | lr:0.0018 | train_time:742.25s | step:4186.39ms
step:170/1788 | loss 5.489221 | lr:0.0018 | train_time:746.42s | step:4171.35ms
step:171/1788 | loss 5.461311 | lr:0.0018 | train_time:750.61s | step:4186.88ms
step:172/1788 | loss 5.567675 | lr:0.0018 | train_time:754.79s | step:4175.25ms
step:173/1788 | loss 5.485840 | lr:0.0018 | train_time:758.97s | step:4182.70ms
step:174/1788 | loss 5.548349 | lr:0.0018 | train_time:763.16s | step:4187.68ms
step:175/1788 | loss 5.543697 | lr:0.0018 | train_time:767.34s | step:4182.42ms
step:176/1788 | loss 5.499822 | lr:0.0018 | train_time:771.52s | step:4185.03ms
step:177/1788 | loss 5.464314 | lr:0.0018 | train_time:775.72s | step:4197.39ms
step:178/1788 | loss 5.502695 | lr:0.0018 | train_time:779.90s | step:4176.99ms
step:179/1788 | loss 5.511587 | lr:0.0018 | train_time:784.08s | step:4186.62ms
step:180/1788 | loss 5.446033 | lr:0.0018 | train_time:788.28s | step:4198.51ms
step:181/1788 | loss 5.418865 | lr:0.0018 | train_time:792.46s | step:4174.04ms
step:182/1788 | loss 5.488715 | lr:0.0018 | train_time:796.65s | step:4188.98ms
step:183/1788 | loss 5.405468 | lr:0.0018 | train_time:800.84s | step:4193.58ms
step:184/1788 | loss 5.491227 | lr:0.0018 | train_time:805.02s | step:4183.72ms
step:185/1788 | loss 5.439041 | lr:0.0018 | train_time:809.19s | step:4165.72ms
step:186/1788 | loss 5.390786 | lr:0.0018 | train_time:813.37s | step:4178.57ms
step:187/1788 | loss 5.515490 | lr:0.0018 | train_time:817.56s | step:4196.68ms
step:188/1788 | loss 5.441008 | lr:0.0018 | train_time:821.76s | step:4199.61ms
step:189/1788 | loss 5.292832 | lr:0.0018 | train_time:825.96s | step:4198.69ms
step:190/1788 | loss 5.417392 | lr:0.0018 | train_time:830.14s | step:4182.01ms
step:191/1788 | loss 5.462181 | lr:0.0018 | train_time:834.75s | step:4605.47ms
step:192/1788 | loss 5.373370 | lr:0.0018 | train_time:838.93s | step:4176.08ms
step:193/1788 | loss 5.381682 | lr:0.0018 | train_time:843.12s | step:4196.21ms
step:194/1788 | loss 5.464411 | lr:0.0018 | train_time:847.30s | step:4179.21ms
step:195/1788 | loss 5.480630 | lr:0.0018 | train_time:851.48s | step:4183.12ms
step:196/1788 | loss 5.468886 | lr:0.0018 | train_time:855.66s | step:4178.27ms
step:197/1788 | loss 5.454961 | lr:0.0018 | train_time:859.85s | step:4183.97ms
step:198/1788 | loss 5.421095 | lr:0.0018 | train_time:864.03s | step:4180.99ms
step:199/1788 | loss 5.366314 | lr:0.0018 | train_time:868.21s | step:4180.31ms
step:200/1788 | loss 5.423427 | lr:0.0018 | train_time:872.39s | step:4180.98ms
step:201/1788 | loss 5.500532 | lr:0.0018 | train_time:876.56s | step:4174.25ms
step:202/1788 | loss 5.404473 | lr:0.0018 | train_time:880.75s | step:4182.81ms
step:203/1788 | loss 5.383584 | lr:0.0018 | train_time:884.92s | step:4174.01ms
step:204/1788 | loss 5.387570 | lr:0.0018 | train_time:889.11s | step:4187.27ms
step:205/1788 | loss 5.378874 | lr:0.0018 | train_time:893.28s | step:4173.81ms
step:206/1788 | loss 5.244431 | lr:0.0018 | train_time:897.47s | step:4184.93ms
step:207/1788 | loss 5.357052 | lr:0.0018 | train_time:901.64s | step:4172.52ms
step:208/1788 | loss 5.355767 | lr:0.0018 | train_time:905.82s | step:4186.34ms
step:209/1788 | loss 5.276929 | lr:0.0018 | train_time:910.00s | step:4174.19ms
step:210/1788 | loss 5.246681 | lr:0.0018 | train_time:914.20s | step:4201.03ms
step:211/1788 | loss 5.282657 | lr:0.0018 | train_time:918.37s | step:4168.93ms
step:212/1788 | loss 5.295766 | lr:0.0018 | train_time:922.55s | step:4176.37ms
step:213/1788 | loss 5.292541 | lr:0.0018 | train_time:926.73s | step:4184.07ms
step:214/1788 | loss 5.283897 | lr:0.0018 | train_time:930.90s | step:4172.73ms
step:215/1788 | loss 5.266761 | lr:0.0018 | train_time:935.08s | step:4177.27ms
step:216/1788 | loss 5.310089 | lr:0.0018 | train_time:939.27s | step:4185.85ms
step:217/1788 | loss 5.235541 | lr:0.0018 | train_time:943.44s | step:4179.13ms
step:218/1788 | loss 5.258479 | lr:0.0018 | train_time:947.62s | step:4174.12ms
step:219/1788 | loss 5.209162 | lr:0.0018 | train_time:951.81s | step:4191.65ms
step:220/1788 | loss 5.207201 | lr:0.0018 | train_time:955.99s | step:4183.91ms
step:221/1788 | loss 5.228723 | lr:0.0018 | train_time:960.18s | step:4190.58ms
step:222/1788 | loss 5.190040 | lr:0.0018 | train_time:964.38s | step:4190.92ms
step:223/1788 | loss 5.239499 | lr:0.0018 | train_time:968.57s | step:4193.47ms
step:224/1788 | loss 5.292276 | lr:0.0018 | train_time:972.75s | step:4182.54ms
step:225/1788 | loss 5.255991 | lr:0.0018 | train_time:976.94s | step:4188.60ms
step:226/1788 | loss 5.163181 | lr:0.0018 | train_time:981.13s | step:4187.92ms
step:227/1788 | loss 5.182465 | lr:0.0018 | train_time:985.30s | step:4175.65ms
step:228/1788 | loss 5.233521 | lr:0.0018 | train_time:989.48s | step:4177.56ms
step:229/1788 | loss 5.194075 | lr:0.0018 | train_time:993.67s | step:4187.48ms
step:230/1788 | loss 5.253414 | lr:0.0018 | train_time:997.85s | step:4180.32ms
step:231/1788 | loss 5.130812 | lr:0.0018 | train_time:1002.06s | step:4211.22ms
step:232/1788 | loss 5.183473 | lr:0.0018 | train_time:1006.23s | step:4171.84ms
step:233/1788 | loss 5.155432 | lr:0.0018 | train_time:1010.42s | step:4192.81ms
step:234/1788 | loss 5.182325 | lr:0.0018 | train_time:1014.61s | step:4188.55ms
step:235/1788 | loss 5.202004 | lr:0.0018 | train_time:1018.78s | step:4169.70ms
step:236/1788 | loss 5.283704 | lr:0.0018 | train_time:1022.96s | step:4179.93ms
step:237/1788 | loss 5.212142 | lr:0.0018 | train_time:1027.15s | step:4187.16ms
step:238/1788 | loss 5.248797 | lr:0.0018 | train_time:1031.35s | step:4196.19ms
step:239/1788 | loss 5.228919 | lr:0.0018 | train_time:1035.52s | step:4171.59ms
step:240/1788 | loss 5.102488 | lr:0.0018 | train_time:1039.70s | step:4181.32ms
step:241/1788 | loss 5.207111 | lr:0.0018 | train_time:1043.88s | step:4176.59ms
step:242/1788 | loss 5.266465 | lr:0.0018 | train_time:1048.07s | step:4189.81ms
step:243/1788 | loss 5.238513 | lr:0.0018 | train_time:1052.25s | step:4179.86ms
step:244/1788 | loss 5.117515 | lr:0.0018 | train_time:1056.43s | step:4183.40ms
step:245/1788 | loss 5.138668 | lr:0.0018 | train_time:1060.61s | step:4177.99ms
step:246/1788 | loss 5.107875 | lr:0.0018 | train_time:1064.78s | step:4171.01ms
step:247/1788 | loss 5.102035 | lr:0.0018 | train_time:1068.94s | step:4163.72ms
step:248/1788 | loss 5.087584 | lr:0.0018 | train_time:1073.11s | step:4169.80ms
step:249/1788 | loss 5.067634 | lr:0.0018 | train_time:1077.28s | step:4171.47ms
step:250/1788 | loss 5.136202 | lr:0.0018 | train_time:1081.46s | step:4175.65ms
step:251/1788 | loss 5.062904 | lr:0.0018 | train_time:1085.63s | step:4169.70ms
step:252/1788 | loss 5.160429 | lr:0.0018 | train_time:1089.81s | step:4178.48ms
step:253/1788 | loss 5.084308 | lr:0.0018 | train_time:1093.99s | step:4185.78ms
step:254/1788 | loss 5.102995 | lr:0.0018 | train_time:1098.17s | step:4178.37ms
step:255/1788 | loss 5.052274 | lr:0.0018 | train_time:1102.34s | step:4173.49ms
step:256/1788 | loss 5.108733 | lr:0.0018 | train_time:1106.52s | step:4174.16ms
saved checkpoint: runs/baseline-20260718T074451Z/proxy-seed-2/checkpoint.pt (next step 256)
step:256/1788 | val loss 5.118789
step:257/1788 | loss 5.081481 | lr:0.0018 | train_time:1110.69s | step:4168.98ms
step:258/1788 | loss 5.125976 | lr:0.0018 | train_time:1114.86s | step:4171.55ms
step:259/1788 | loss 5.068543 | lr:0.0018 | train_time:1119.02s | step:4163.84ms
step:260/1788 | loss 5.039943 | lr:0.0018 | train_time:1123.20s | step:4176.59ms
step:261/1788 | loss 5.039222 | lr:0.0018 | train_time:1127.36s | step:4159.86ms
step:262/1788 | loss 4.994902 | lr:0.0018 | train_time:1131.53s | step:4173.95ms
step:263/1788 | loss 5.076200 | lr:0.0018 | train_time:1135.70s | step:4162.40ms
step:264/1788 | loss 5.050558 | lr:0.0018 | train_time:1139.86s | step:4166.56ms
step:265/1788 | loss 5.028933 | lr:0.0018 | train_time:1144.04s | step:4178.99ms
step:266/1788 | loss 5.004911 | lr:0.0018 | train_time:1148.22s | step:4179.64ms
step:267/1788 | loss 5.009056 | lr:0.0018 | train_time:1152.41s | step:4189.12ms
step:268/1788 | loss 5.019401 | lr:0.0018 | train_time:1156.60s | step:4186.85ms
step:269/1788 | loss 4.956915 | lr:0.0018 | train_time:1160.76s | step:4163.76ms
step:270/1788 | loss 5.020638 | lr:0.0018 | train_time:1164.95s | step:4190.73ms
step:271/1788 | loss 5.011492 | lr:0.0018 | train_time:1169.13s | step:4182.16ms
step:272/1788 | loss 5.059906 | lr:0.0018 | train_time:1173.30s | step:4163.48ms
